Year,District,DistLocale,Total_ProficientPct,EconDisadv_ProficientPct,NotEconDisadv_ProficientPct,Female_ProficientPct,Male_ProficientPct,AIAN_ProficientPct,Asian_ProficientPct,Black_ProficientPct,Filipino_ProficientPct,Hisp_ProficientPct,NHPI_ProficientPct,TwoOrMore_ProficientPct,White_ProficientPct,Total_ProficientCount,EconDisadv_ProficientCount,NotEconDisadv_ProficientCount,Female_ProficientCount,Male_ProficientCount,AIAN_ProficientCount,Asian_ProficientCount,Black_ProficientCount,Filipino_ProficientCount,Hisp_ProficientCount,NHPI_ProficientCount,TwoOrMore_ProficientCount,White_ProficientCount,Total_Count,EconDisadv_Count,NotEconDisadv_Count,Female_Count,Male_Count,AIAN_Count,Asian_Count,Black_Count,Filipino_Count,Hisp_Count,NHPI_Count,TwoOrMore_Count,White_Count,Total_ProficientPct_missing,EconDisadv_ProficientPct_missing,NotEconDisadv_ProficientPct_missing,Female_ProficientPct_missing,Male_ProficientPct_missing,AIAN_ProficientPct_missing,Asian_ProficientPct_missing,Black_ProficientPct_missing,Filipino_ProficientPct_missing,Hisp_ProficientPct_missing,NHPI_ProficientPct_missing,TwoOrMore_ProficientPct_missing,White_ProficientPct_missing,Total_ProficientCount_missing,EconDisadv_ProficientCount_missing,NotEconDisadv_ProficientCount_missing,Female_ProficientCount_missing,Male_ProficientCount_missing,AIAN_ProficientCount_missing,Asian_ProficientCount_missing,Black_ProficientCount_missing,Filipino_ProficientCount_missing,Hisp_ProficientCount_missing,NHPI_ProficientCount_missing,TwoOrMore_ProficientCount_missing,White_ProficientCount_missing,Total_Count_missing,EconDisadv_Count_missing,NotEconDisadv_Count_missing,Female_Count_missing,Male_Count_missing,AIAN_Count_missing,Asian_Count_missing,Black_Count_missing,Filipino_Count_missing,Hisp_Count_missing,NHPI_Count_missing,TwoOrMore_Count_missing,White_Count_missing,Total_ProficientPct_lag1,Total_ProficientPct_lag2,Total_ProficientPct_lag3,Total_ProficientPct_lag4
2017,waterford unified,"Town, fringe",0.1866,0.156,0.32,0.1667,0.2097,,,,,0.1789,,,0.2258,25.0,17.0,8.0,12.0,13.0,0.0,0.0,0.0,,17.0,0.0,,7.0,134.0,109.0,25.0,72.0,62.0,0.0,0.0,0.0,,95.0,0.0,,31.0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.16,0.15,,
2018,waterford unified,"Town, fringe",0.1682,0.1667,0.1818,0.1273,0.2115,,,,,0.1408,,,0.2414,18.0,16.0,2.0,7.0,11.0,,0.0,0.0,,10.0,,0.0,7.0,107.0,96.0,11.0,55.0,52.0,,0.0,0.0,,71.0,,0.0,29.0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.1866,0.16,0.15,
2019,waterford unified,"Town, fringe",0.3246,0.2941,0.5833,0.3019,0.3443,,,,,0.3133,,,0.2917,37.0,30.0,7.0,16.0,21.0,,0.0,0.0,0.0,26.0,,0.0,7.0,114.0,102.0,12.0,53.0,61.0,,0.0,0.0,0.0,83.0,,0.0,24.0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1682,0.1866,0.16,0.15
2015,waugh elementary,"Suburb, small",0.53,0.05,0.6,0.51,0.54,,,,,0.3,,0.36,0.57,73.0,1.0,71.0,34.0,38.0,,0.0,0.0,,9.0,,4.0,48.0,138.0,19.0,119.0,68.0,70.0,,10.0,2.0,,30.0,,11.0,85.0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,,,
2016,waugh elementary,"Suburb, small",0.64,0.56,0.67,0.65,0.63,,0.83,,,0.48,,0.79,0.61,74.0,14.0,60.0,34.0,40.0,,10.0,0.0,0.0,13.0,,11.0,35.0,115.0,25.0,90.0,52.0,63.0,,12.0,1.0,2.0,27.0,,14.0,57.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.53,,,
2017,waugh elementary,"Suburb, small",0.6364,0.3158,0.6961,0.6129,0.661,,,,,0.4643,,,0.6842,77.0,6.0,71.0,38.0,39.0,,0.0,0.0,0.0,13.0,,0.0,52.0,121.0,19.0,102.0,62.0,59.0,,0.0,0.0,0.0,28.0,,0.0,76.0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.64,0.53,,
2018,waugh elementary,"Suburb, small",0.6577,0.3333,0.7204,0.5741,0.7368,,,,,0.56,,0.7647,0.6,73.0,6.0,67.0,31.0,42.0,,0.0,0.0,0.0,14.0,,13.0,33.0,111.0,18.0,93.0,54.0,57.0,,0.0,0.0,0.0,25.0,,17.0,55.0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6364,0.64,0.53,
2019,waugh elementary,"Suburb, small",0.6446,0.2727,0.7273,0.5517,0.7302,,,,,0.3548,,0.5385,0.75,78.0,6.0,72.0,32.0,46.0,0.0,0.0,0.0,0.0,11.0,0.0,7.0,51.0,121.0,22.0,99.0,58.0,63.0,0.0,4.0,0.0,0.0,31.0,0.0,13.0,68.0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6577,0.6364,0.64,0.53
2015,waukena joint union elementary,"Rural, distant",0.19,0.17,,,0.21,,,,,0.12,,,,4.0,3.0,0.0,0.0,3.0,,,,,2.0,,,0.0,21.0,18.0,3.0,7.0,14.0,,,,,17.0,,,4.0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,,,,
2016,waukena joint union elementary,"Rural, distant",0.09,0.05,,0.08,,,,,,0.05,,,,2.0,1.0,0.0,1.0,0.0,,,,,1.0,,,0.0,23.0,19.0,4.0,13.0,10.0,,,,,19.0,,,4.0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0.19,,,
